"","lakeabv","Analysis","Identifier.1","d13C_VPDB","d15N_air","Comment","Area.44","Area.28","run","type","rep","state","planttype","X","Lake","elev_m","maxdepth_m","WatershedAreaTotal_m2","WatershedAreaofupstreamlakes_m2","Lake_Volume_m3","AddtionalUpstreamVolume_m3","PerimeterLength_m","Area_m2","SDI","Area_ha","IlluminatedBottom_morethan1_ha","MostLightLittoral_morethan50_ha","PerLit_1percentlight","PerLit_50percentofLight","X.Littoral.at.15m","Date.Started","Secchi_m","Rainbow.Trout","Brown.Trout","Total.Fish","Overnight","Notes","Set1","Set2","Set.3","Set4","Hours.net.wet","Minutes","Total.minutes","Total.hours..decimal.","CPUE","X.Elevation_m","Repro","Miles.from.Trailhead","Depth_m","USGS_ReconAlpineLakesReport","Bins","AvgDepth_m","Percent_Littoral","EB","CurrentlyStocked","Has.Natural.Repro","Name_2","Name_3","County","Latitude","Longitude","Elevation_ft","Elevation_m","SizeAcres","Hectares_convertion","Depth_ft","Jurisdiction","Wilderness","CID","GeometryID","kd","kd.below1m","kd.2pt","wateradj","onepercent.kd.2pt","fiftypercent.kd.2pt","onepercent.kd.below1m","fiftypercent.kd.below1m","Totm2overTotm3","Subm2overSubm3","ordered.lit","ordered.depth","ordered.elv","ordered.CPUE","tot.biomass","BMPU"
"29","LOG",18092,"PP40_LOG_TDE",-33.2129248981799,-3.83039034391536,1.866,686,8.166,"PP40","TDE",NA,"duff","conifer",8,"Lodge",952.5,5.4864,993869,0,111281.0797,0,760.798722,38166.48244,1.098559982,3.816648,3.815289,0.569294,99.96439284,14.91607295,100,"9/2/2018","max",3,2,5,1,"","2:30p-6:45p","6:45p-11a","","",20,30,1230,20.5,0.243902439,952.5,"NULL",NA,5.4864,"N",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.40931064,-121.4301937,3125,952.5,9.3,3.7635798,18,"Mt. Baker-Snoqualmie National Forest","NULL",101,"L2979",0.703669930456958,0.832979758371585,0.475893947383648,0.832,9.68,1.46,5.53,0.83,8.93115885179536,8.93115885179536,"Lodge","Lodge","Lodge","Lodge",2019.3,98.5024390243902
"30","LOG",18098,"PP39_LOG_TLE",-33.7225945526018,-6.48297580199877,1.753,633.067,6.635,"PP39","TLE",NA,"living","conifer",8,"Lodge",952.5,5.4864,993869,0,111281.0797,0,760.798722,38166.48244,1.098559982,3.816648,3.815289,0.569294,99.96439284,14.91607295,100,"9/2/2018","max",3,2,5,1,"","2:30p-6:45p","6:45p-11a","","",20,30,1230,20.5,0.243902439,952.5,"NULL",NA,5.4864,"N",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.40931064,-121.4301937,3125,952.5,9.3,3.7635798,18,"Mt. Baker-Snoqualmie National Forest","NULL",101,"L2979",0.703669930456958,0.832979758371585,0.475893947383648,0.832,9.68,1.46,5.53,0.83,8.93115885179536,8.93115885179536,"Lodge","Lodge","Lodge","Lodge",2019.3,98.5024390243902
"31","LOG",18084,"PP38_LOG_TDH",-32.0972580385002,-2.46244711143475,0.995,333.004,10.41,"PP38","TDH",NA,"duff","huckleberry",8,"Lodge",952.5,5.4864,993869,0,111281.0797,0,760.798722,38166.48244,1.098559982,3.816648,3.815289,0.569294,99.96439284,14.91607295,100,"9/2/2018","max",3,2,5,1,"","2:30p-6:45p","6:45p-11a","","",20,30,1230,20.5,0.243902439,952.5,"NULL",NA,5.4864,"N",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.40931064,-121.4301937,3125,952.5,9.3,3.7635798,18,"Mt. Baker-Snoqualmie National Forest","NULL",101,"L2979",0.703669930456958,0.832979758371585,0.475893947383648,0.832,9.68,1.46,5.53,0.83,8.93115885179536,8.93115885179536,"Lodge","Lodge","Lodge","Lodge",2019.3,98.5024390243902
"32","LTL",23587,"PP167_LTL_TDE",-28.960916517361,-4.6517096090398,NA,461.118,7.974,"PP167","TDE","duo","duff","conifer",9,"Tuscohatchie, Lower",1042.416,39.624,4684870,3270108.077,2365654.752,7326173.592,1682.012924,124561.0547,1.344414717,12.456105,4.917598,1.207475,39.47941993,9.693840892,43.3,"8/11/2018","11",10,0,10,1,"Whirling (1)","8:30p-8:30a","","","",12,NA,720,12,0.833333333,1042.416,"Yes",5.5,39.624,"",4,NA,"NULL","EB","No","Yes","NULL","NULL","King",47.43870995,-121.4964964,3420,1042.416,31.8,12.8690148,130,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",142,"L4603",0.334943990492082,0.334943990492082,0.304897443215535,-0.376,15.1,2.27,13.75,2.07,0.483383509665676,0.598042432778458,"Tuscohatchie, Lower","Tuscohatchie, Lower","Tuscohatchie, Lower","Tuscohatchie, Lower",552.8,46.0666666666667
"33","LTL",23635,"PP164_LTL_TLH",-29.4902817492637,-0.232016837821546,1.009,432.924,9.929,"PP164","TLH",NA,"living","huckleberry",9,"Tuscohatchie, Lower",1042.416,39.624,4684870,3270108.077,2365654.752,7326173.592,1682.012924,124561.0547,1.344414717,12.456105,4.917598,1.207475,39.47941993,9.693840892,43.3,"8/11/2018","11",10,0,10,1,"Whirling (1)","8:30p-8:30a","","","",12,NA,720,12,0.833333333,1042.416,"Yes",5.5,39.624,"",4,NA,"NULL","EB","No","Yes","NULL","NULL","King",47.43870995,-121.4964964,3420,1042.416,31.8,12.8690148,130,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",142,"L4603",0.334943990492082,0.334943990492082,0.304897443215535,-0.376,15.1,2.27,13.75,2.07,0.483383509665676,0.598042432778458,"Tuscohatchie, Lower","Tuscohatchie, Lower","Tuscohatchie, Lower","Tuscohatchie, Lower",552.8,46.0666666666667
"34","LTL",23657,"PP166_LTL_TLE",-29.7711086718994,-4.63492497292838,NA,442.447,9.202,"PP166","TLE","duo","living","conifer",9,"Tuscohatchie, Lower",1042.416,39.624,4684870,3270108.077,2365654.752,7326173.592,1682.012924,124561.0547,1.344414717,12.456105,4.917598,1.207475,39.47941993,9.693840892,43.3,"8/11/2018","11",10,0,10,1,"Whirling (1)","8:30p-8:30a","","","",12,NA,720,12,0.833333333,1042.416,"Yes",5.5,39.624,"",4,NA,"NULL","EB","No","Yes","NULL","NULL","King",47.43870995,-121.4964964,3420,1042.416,31.8,12.8690148,130,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",142,"L4603",0.334943990492082,0.334943990492082,0.304897443215535,-0.376,15.1,2.27,13.75,2.07,0.483383509665676,0.598042432778458,"Tuscohatchie, Lower","Tuscohatchie, Lower","Tuscohatchie, Lower","Tuscohatchie, Lower",552.8,46.0666666666667
"35","LTL",23615,"PP165_LTL_TDH",-28.4526121826891,-6.00222686597612,1.007,443.153,7.912,"PP165","TDH",NA,"duff","huckleberry",9,"Tuscohatchie, Lower",1042.416,39.624,4684870,3270108.077,2365654.752,7326173.592,1682.012924,124561.0547,1.344414717,12.456105,4.917598,1.207475,39.47941993,9.693840892,43.3,"8/11/2018","11",10,0,10,1,"Whirling (1)","8:30p-8:30a","","","",12,NA,720,12,0.833333333,1042.416,"Yes",5.5,39.624,"",4,NA,"NULL","EB","No","Yes","NULL","NULL","King",47.43870995,-121.4964964,3420,1042.416,31.8,12.8690148,130,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",142,"L4603",0.334943990492082,0.334943990492082,0.304897443215535,-0.376,15.1,2.27,13.75,2.07,0.483383509665676,0.598042432778458,"Tuscohatchie, Lower","Tuscohatchie, Lower","Tuscohatchie, Lower","Tuscohatchie, Lower",552.8,46.0666666666667
"36","MAS",23659,"PP192_MAS_TLH",-33.2748504120804,-0.640611855529609,1.004,414.859,13.927,"PP192","TLH",NA,"living","huckleberry",10,"Mason",1274.064,28.0416,667396,0,1755616.315,0,1600.82138,126880.7515,1.267768839,12.68808,7.92071,1.963,62.4263876,15.47121393,50.6,"8/20/2018","9.75",13,0,13,1,"crayfish","3:20p-7:30p","7:30p-1:30p","","",22,10,1330,22.16666667,0.586466165,1274.064,"NULL",5,28.0416,"YES",4,NA,"NULL","","Yes","NULL","Mason, big","Short","King",47.42465935,-121.5543378,4180,1274.064,32.69,13.22918534,92,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",96,"L3227",0.252531863694225,0.257213640999294,0.278747545626824,1.445,16.52,2.49,17.9,2.69,0.380149121592095,0.380149121592095,"Mason","Mason","Mason","Mason",1898,85.6240601375001
"37","MAS",23427,"PP194_MAS_TLE",-30.7992811920735,-6.47667473314457,NA,433.409,9.328,"PP194","TLE","duo","living","conifer",10,"Mason",1274.064,28.0416,667396,0,1755616.315,0,1600.82138,126880.7515,1.267768839,12.68808,7.92071,1.963,62.4263876,15.47121393,50.6,"8/20/2018","9.75",13,0,13,1,"crayfish","3:20p-7:30p","7:30p-1:30p","","",22,10,1330,22.16666667,0.586466165,1274.064,"NULL",5,28.0416,"YES",4,NA,"NULL","","Yes","NULL","Mason, big","Short","King",47.42465935,-121.5543378,4180,1274.064,32.69,13.22918534,92,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",96,"L3227",0.252531863694225,0.257213640999294,0.278747545626824,1.445,16.52,2.49,17.9,2.69,0.380149121592095,0.380149121592095,"Mason","Mason","Mason","Mason",1898,85.6240601375001
"38","MAS",23683,"PP193_MAS_TDH",-32.4080273169238,-1.66248278097399,0.999,432.316,14.567,"PP193","TDH",NA,"duff","huckleberry",10,"Mason",1274.064,28.0416,667396,0,1755616.315,0,1600.82138,126880.7515,1.267768839,12.68808,7.92071,1.963,62.4263876,15.47121393,50.6,"8/20/2018","9.75",13,0,13,1,"crayfish","3:20p-7:30p","7:30p-1:30p","","",22,10,1330,22.16666667,0.586466165,1274.064,"NULL",5,28.0416,"YES",4,NA,"NULL","","Yes","NULL","Mason, big","Short","King",47.42465935,-121.5543378,4180,1274.064,32.69,13.22918534,92,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",96,"L3227",0.252531863694225,0.257213640999294,0.278747545626824,1.445,16.52,2.49,17.9,2.69,0.380149121592095,0.380149121592095,"Mason","Mason","Mason","Mason",1898,85.6240601375001
"39","MAS",23419,"PP195_MAS_TDE",-31.2495687634674,-4.6534825828277,NA,442.641,9.499,"PP195","TDE","duo","duff","conifer",10,"Mason",1274.064,28.0416,667396,0,1755616.315,0,1600.82138,126880.7515,1.267768839,12.68808,7.92071,1.963,62.4263876,15.47121393,50.6,"8/20/2018","9.75",13,0,13,1,"crayfish","3:20p-7:30p","7:30p-1:30p","","",22,10,1330,22.16666667,0.586466165,1274.064,"NULL",5,28.0416,"YES",4,NA,"NULL","","Yes","NULL","Mason, big","Short","King",47.42465935,-121.5543378,4180,1274.064,32.69,13.22918534,92,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",96,"L3227",0.252531863694225,0.257213640999294,0.278747545626824,1.445,16.52,2.49,17.9,2.69,0.380149121592095,0.380149121592095,"Mason","Mason","Mason","Mason",1898,85.6240601375001
"40","OLA",23618,"PP206_OLA_TLE",-33.3735454682714,-5.17591038136175,NA,456.453,10.509,"PP206","TLE","duo","living","conifer",11,"Olallie",1152.144,12.192,1301600,0,377041,0,1049,55594,1.255037189,5.559385,3.472687,0.747112,62.46530866,13.43875267,100,"8/27/2018","7.25",17,0,17,1,"crayfish","1:30p-7:00p","7:00p-10:00a","","",20,30,1230,20.5,0.829268293,1152.144,"Yes",3,12.192,"N",4,NA,"NULL","","No","Yes","Divide","NULL","King",47.42220981,-121.5103964,3780,1152.144,13.4,5.4227924,40,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",92,"L3499",0.411061535923991,0.526094994966801,0.440967635497322,1.338,10.44,1.57,8.75,1.32,3.45214446174289,3.45214446174289,"Olallie","Olallie","Olallie","Olallie",966.7,47.1560975609756
"41","OLA",23628,"PP205_OLA_TDH",-30.5613055467322,-1.40346551031964,1.004,430.978,13.736,"PP205","TDH",NA,"duff","huckleberry",11,"Olallie",1152.144,12.192,1301600,0,377041,0,1049,55594,1.255037189,5.559385,3.472687,0.747112,62.46530866,13.43875267,100,"8/27/2018","7.25",17,0,17,1,"crayfish","1:30p-7:00p","7:00p-10:00a","","",20,30,1230,20.5,0.829268293,1152.144,"Yes",3,12.192,"N",4,NA,"NULL","","No","Yes","Divide","NULL","King",47.42220981,-121.5103964,3780,1152.144,13.4,5.4227924,40,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",92,"L3499",0.411061535923991,0.526094994966801,0.440967635497322,1.338,10.44,1.57,8.75,1.32,3.45214446174289,3.45214446174289,"Olallie","Olallie","Olallie","Olallie",966.7,47.1560975609756
"42","OLA",23671,"PP207_OLA_TDE",-31.78090628594,-0.75582279320226,NA,451.946,8.991,"PP207","TDE","duo","duff","conifer",11,"Olallie",1152.144,12.192,1301600,0,377041,0,1049,55594,1.255037189,5.559385,3.472687,0.747112,62.46530866,13.43875267,100,"8/27/2018","7.25",17,0,17,1,"crayfish","1:30p-7:00p","7:00p-10:00a","","",20,30,1230,20.5,0.829268293,1152.144,"Yes",3,12.192,"N",4,NA,"NULL","","No","Yes","Divide","NULL","King",47.42220981,-121.5103964,3780,1152.144,13.4,5.4227924,40,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",92,"L3499",0.411061535923991,0.526094994966801,0.440967635497322,1.338,10.44,1.57,8.75,1.32,3.45214446174289,3.45214446174289,"Olallie","Olallie","Olallie","Olallie",966.7,47.1560975609756
"43","OLA",23622,"PP204_OLA_TLH",-30.6983328178849,1.02046287009273,1.016,440.905,12.09,"PP204","TLH",NA,"living","huckleberry",11,"Olallie",1152.144,12.192,1301600,0,377041,0,1049,55594,1.255037189,5.559385,3.472687,0.747112,62.46530866,13.43875267,100,"8/27/2018","7.25",17,0,17,1,"crayfish","1:30p-7:00p","7:00p-10:00a","","",20,30,1230,20.5,0.829268293,1152.144,"Yes",3,12.192,"N",4,NA,"NULL","","No","Yes","Divide","NULL","King",47.42220981,-121.5103964,3780,1152.144,13.4,5.4227924,40,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",92,"L3499",0.411061535923991,0.526094994966801,0.440967635497322,1.338,10.44,1.57,8.75,1.32,3.45214446174289,3.45214446174289,"Olallie","Olallie","Olallie","Olallie",966.7,47.1560975609756
"44","RBL",23662,"PP156_RBL_TLH",-29.1992604127185,-1.8868936508755,0.994,434.069,12.885,"PP156","TLH",NA,"living","huckleberry",12,"Rainbow",1301.496,13.335,318525,0,141314.4864,0,850.709802,26215.4819,1.48216851,2.621548,2.074309,0.599783,79.12534884,22.87896312,NA,"8/17/2018","7.8",0,0,0,3,"","7:30p-8:15a","3p-11a","3:45p-9:45a","",50,NA,3000,50,0,1301.496,"NULL",5,13.335,"",4,NA,"NULL","","Yes","NULL","Trail","Long","King",47.42522953,-121.5363973,4270,1301.496,6.38,2.58189668,43.75,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",94,"L3831",0.438413469702404,0.53931634235125,0.581009557161508,NA,7.93,1.19,8.54,1.29,2.25401519769455,2.25401519769455,"Rainbow","Rainbow","Rainbow","Rainbow",NA,NA
"45","RBL",23606,"PP157_RBL_TDH",-31.1607918449381,-1.05733293928263,1.014,438.839,10.851,"PP157","TDH",NA,"duff","huckleberry",12,"Rainbow",1301.496,13.335,318525,0,141314.4864,0,850.709802,26215.4819,1.48216851,2.621548,2.074309,0.599783,79.12534884,22.87896312,NA,"8/17/2018","7.8",0,0,0,3,"","7:30p-8:15a","3p-11a","3:45p-9:45a","",50,NA,3000,50,0,1301.496,"NULL",5,13.335,"",4,NA,"NULL","","Yes","NULL","Trail","Long","King",47.42522953,-121.5363973,4270,1301.496,6.38,2.58189668,43.75,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",94,"L3831",0.438413469702404,0.53931634235125,0.581009557161508,NA,7.93,1.19,8.54,1.29,2.25401519769455,2.25401519769455,"Rainbow","Rainbow","Rainbow","Rainbow",NA,NA
"46","SCT",23616,"PP203_SCT_TDE",-28.4378228192475,-6.13927935797632,NA,466.682,7.948,"PP203","TDE","duo","duff","conifer",13,"Scout",1173.48,4.8006,702539.555,0,65621.32833,0,810.189533,25787.98835,1.423223033,2.578799,2.578799,0.8432,100,32.69739131,100,"9/1/2018","max",2,6,8,1,"","12:45p-4:15p","4:15p-9:30a","","",20,45,1245,20.75,0.385542169,1173.48,"NULL",NA,4.8006,"",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.35311001,-121.4937944,3850,1173.48,5.98,2.42002228,15.75,"Mt. Baker-Snoqualmie National Forest","NULL",99,"L44702",0.299666593318089,0.410711795363835,0.296918578053842,1.37,15.51,2.33,11.21,1.69,10.7059636383316,10.7059636383316,"Scout","Scout","Scout","Scout",2820.4,135.922891566265
"47","SCT",23675,"PP201_SCT_TDH",-32.7895745983422,-2.8967425654323,1.005,429.862,11.935,"PP201","TDH",NA,"duff","huckleberry",13,"Scout",1173.48,4.8006,702539.555,0,65621.32833,0,810.189533,25787.98835,1.423223033,2.578799,2.578799,0.8432,100,32.69739131,100,"9/1/2018","max",2,6,8,1,"","12:45p-4:15p","4:15p-9:30a","","",20,45,1245,20.75,0.385542169,1173.48,"NULL",NA,4.8006,"",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.35311001,-121.4937944,3850,1173.48,5.98,2.42002228,15.75,"Mt. Baker-Snoqualmie National Forest","NULL",99,"L44702",0.299666593318089,0.410711795363835,0.296918578053842,1.37,15.51,2.33,11.21,1.69,10.7059636383316,10.7059636383316,"Scout","Scout","Scout","Scout",2820.4,135.922891566265
"48","SCT",23617,"PP202_SCT_TLE",-28.349863495513,-6.94258703006511,NA,440.27,6.896,"PP202","TLE","duo","living","conifer",13,"Scout",1173.48,4.8006,702539.555,0,65621.32833,0,810.189533,25787.98835,1.423223033,2.578799,2.578799,0.8432,100,32.69739131,100,"9/1/2018","max",2,6,8,1,"","12:45p-4:15p","4:15p-9:30a","","",20,45,1245,20.75,0.385542169,1173.48,"NULL",NA,4.8006,"",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.35311001,-121.4937944,3850,1173.48,5.98,2.42002228,15.75,"Mt. Baker-Snoqualmie National Forest","NULL",99,"L44702",0.299666593318089,0.410711795363835,0.296918578053842,1.37,15.51,2.33,11.21,1.69,10.7059636383316,10.7059636383316,"Scout","Scout","Scout","Scout",2820.4,135.922891566265
"49","SCT",23591,"PP200_SCT_TLH",-32.5065320398704,-0.820242131953808,1.006,441.622,16.527,"PP200","TLH",NA,"living","huckleberry",13,"Scout",1173.48,4.8006,702539.555,0,65621.32833,0,810.189533,25787.98835,1.423223033,2.578799,2.578799,0.8432,100,32.69739131,100,"9/1/2018","max",2,6,8,1,"","12:45p-4:15p","4:15p-9:30a","","",20,45,1245,20.75,0.385542169,1173.48,"NULL",NA,4.8006,"",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.35311001,-121.4937944,3850,1173.48,5.98,2.42002228,15.75,"Mt. Baker-Snoqualmie National Forest","NULL",99,"L44702",0.299666593318089,0.410711795363835,0.296918578053842,1.37,15.51,2.33,11.21,1.69,10.7059636383316,10.7059636383316,"Scout","Scout","Scout","Scout",2820.4,135.922891566265
"50","TPB",23685,"PP179_TPB_TDE",-26.1882749308633,-6.20479922799832,NA,470.966,3.861,"PP179","TDE","duo","duff","conifer",14,"Tusco Out-In Pot, Large",1112.52,4.8768,3221362.877,2066170,31844.31742,7280815.969,937.361959,22868.31184,1.748579327,2.286831,2.286831,1.548347,100,67.7071021,100,"8/6/2018","max",17,0,17,0,"","3:27p","7:08p","","",3,41,221,3.683333333,4.615384615,1112.52,"Yes",5.5,4.8768,"",2,NA,"NULL","","No","Yes","NULL","NULL","King",47.43551002,-121.4894961,3650,1112.52,6,2.428116,16,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",2321,"L8594",0.279045990240659,0.369887457012482,0.347582972937708,1.284,13.25,1.99,12.45,1.87,0.440518600731699,36.2762643571212,"Tusco Out-In Pot, Large","Tusco Out-In Pot, Large","Tusco Out-In Pot, Large","Tusco Out-In Pot, Large",619.1,168.081447979012
"51","TPB",23620,"PP176_TPB_TLH",-30.8493586914896,-2.11873946491924,1.008,444.536,10.811,"PP176","TLH",NA,"living","huckleberry",14,"Tusco Out-In Pot, Large",1112.52,4.8768,3221362.877,2066170,31844.31742,7280815.969,937.361959,22868.31184,1.748579327,2.286831,2.286831,1.548347,100,67.7071021,100,"8/6/2018","max",17,0,17,0,"","3:27p","7:08p","","",3,41,221,3.683333333,4.615384615,1112.52,"Yes",5.5,4.8768,"",2,NA,"NULL","","No","Yes","NULL","NULL","King",47.43551002,-121.4894961,3650,1112.52,6,2.428116,16,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",2321,"L8594",0.279045990240659,0.369887457012482,0.347582972937708,1.284,13.25,1.99,12.45,1.87,0.440518600731699,36.2762643571212,"Tusco Out-In Pot, Large","Tusco Out-In Pot, Large","Tusco Out-In Pot, Large","Tusco Out-In Pot, Large",619.1,168.081447979012
"52","TPB",23588,"PP177_TPB_TDH",-31.631357733253,-2.94405556638033,1.006,454.098,12.458,"PP177","TDH",NA,"duff","huckleberry",14,"Tusco Out-In Pot, Large",1112.52,4.8768,3221362.877,2066170,31844.31742,7280815.969,937.361959,22868.31184,1.748579327,2.286831,2.286831,1.548347,100,67.7071021,100,"8/6/2018","max",17,0,17,0,"","3:27p","7:08p","","",3,41,221,3.683333333,4.615384615,1112.52,"Yes",5.5,4.8768,"",2,NA,"NULL","","No","Yes","NULL","NULL","King",47.43551002,-121.4894961,3650,1112.52,6,2.428116,16,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",2321,"L8594",0.279045990240659,0.369887457012482,0.347582972937708,1.284,13.25,1.99,12.45,1.87,0.440518600731699,36.2762643571212,"Tusco Out-In Pot, Large","Tusco Out-In Pot, Large","Tusco Out-In Pot, Large","Tusco Out-In Pot, Large",619.1,168.081447979012
"53","TPB",23619,"PP178_TPB_TLE",-29.3899644167709,-6.86455714410879,NA,445.313,8.456,"PP178","TLE","duo","living","conifer",14,"Tusco Out-In Pot, Large",1112.52,4.8768,3221362.877,2066170,31844.31742,7280815.969,937.361959,22868.31184,1.748579327,2.286831,2.286831,1.548347,100,67.7071021,100,"8/6/2018","max",17,0,17,0,"","3:27p","7:08p","","",3,41,221,3.683333333,4.615384615,1112.52,"Yes",5.5,4.8768,"",2,NA,"NULL","","No","Yes","NULL","NULL","King",47.43551002,-121.4894961,3650,1112.52,6,2.428116,16,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",2321,"L8594",0.279045990240659,0.369887457012482,0.347582972937708,1.284,13.25,1.99,12.45,1.87,0.440518600731699,36.2762643571212,"Tusco Out-In Pot, Large","Tusco Out-In Pot, Large","Tusco Out-In Pot, Large","Tusco Out-In Pot, Large",619.1,168.081447979012
"54","TPS",23608,"PP172_TPS_TLH",-29.6181613674874,-8.35412765935188,1.017,427.324,10.369,"PP172","TLH",NA,"living","huckleberry",15,"Tusco Out-In Pot, Small",1109.472,3.6576,48745.2,0,13513.30581,0,342.551917,6852.014785,1.167380204,0.685202,0.685202,0.206534,100,30.1420603,100,"8/5/2018","max",7,0,7,0,"Likely 5 more fish","9:36a-1:12p","?1:12p-2:15p","","",3,36,216,3.6,1.944444444,1109.472,"Yes",5.5,3.6576,"",2,NA,"21.7","","No","Yes","NULL","NULL","King",47.43510999,-121.4920962,3640,1109.472,1.2,0.4856232,12,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",2320,"L8433",0.471709512986123,0.593129988883178,0.471374001579468,1.106,9.77,1.47,7.76,1.17,3.60720024288416,3.60720024288416,"Tusco Out-In Pot, Small","Tusco Out-In Pot, Small","Tusco Out-In Pot, Small","Tusco Out-In Pot, Small",352.9,98.0277777777778
"55","TPS",23629,"PP173_TPS_TDH",-30.9409782068613,-3.46025327347599,1.012,434.805,8.809,"PP173","TDH",NA,"duff","huckleberry",15,"Tusco Out-In Pot, Small",1109.472,3.6576,48745.2,0,13513.30581,0,342.551917,6852.014785,1.167380204,0.685202,0.685202,0.206534,100,30.1420603,100,"8/5/2018","max",7,0,7,0,"Likely 5 more fish","9:36a-1:12p","?1:12p-2:15p","","",3,36,216,3.6,1.944444444,1109.472,"Yes",5.5,3.6576,"",2,NA,"21.7","","No","Yes","NULL","NULL","King",47.43510999,-121.4920962,3640,1109.472,1.2,0.4856232,12,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",2320,"L8433",0.471709512986123,0.593129988883178,0.471374001579468,1.106,9.77,1.47,7.76,1.17,3.60720024288416,3.60720024288416,"Tusco Out-In Pot, Small","Tusco Out-In Pot, Small","Tusco Out-In Pot, Small","Tusco Out-In Pot, Small",352.9,98.0277777777778
"56","UML",18082,"PP14_UML_TDH",-31.8838929231972,-2.16761519194784,1.046,353.068,7.991,"PP14","TDH",NA,"duff","huckleberry",16,"Melakwa, Upper",1371.6,5.4864,872925,0,19206.7414,0,460.001721,9272.361742,1.347594846,0.927236,0.927236,0.927236,100,100,100,"8/10/2018","max",11,2,13,1,"","2:18p-6:12p","6:45p-10:15a","","",19,30,1170,19.5,0.666666667,1371.6,"NULL",4.26,5.4864,"N",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.45261022,-121.4700959,4500,1371.6,2.11,0.85388746,18,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",132,"L3271",0.137461276171073,0.0496351460560639,0.179296719623021,1.573,25.68,3.87,92.78,13.96,45.448885983335,45.448885983335,"Melakwa, Upper","Melakwa, Upper","Melakwa, Upper","Melakwa, Upper",2114.6,108.441025641026
"57","UML",18081,"PP13_UML_TLH",-28.9568459678961,-2.5875548351197,0.998,333.682,14.778,"PP13","TLH",NA,"living","huckleberry",16,"Melakwa, Upper",1371.6,5.4864,872925,0,19206.7414,0,460.001721,9272.361742,1.347594846,0.927236,0.927236,0.927236,100,100,100,"8/10/2018","max",11,2,13,1,"","2:18p-6:12p","6:45p-10:15a","","",19,30,1170,19.5,0.666666667,1371.6,"NULL",4.26,5.4864,"N",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.45261022,-121.4700959,4500,1371.6,2.11,0.85388746,18,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",132,"L3271",0.137461276171073,0.0496351460560639,0.179296719623021,1.573,25.68,3.87,92.78,13.96,45.448885983335,45.448885983335,"Melakwa, Upper","Melakwa, Upper","Melakwa, Upper","Melakwa, Upper",2114.6,108.441025641026
"58","UML",18087,"PP16_UML_TDE",-31.6299591770856,-8.18412820056806,1.953,706.243,8.87,"PP16","TDE",NA,"duff","conifer",16,"Melakwa, Upper",1371.6,5.4864,872925,0,19206.7414,0,460.001721,9272.361742,1.347594846,0.927236,0.927236,0.927236,100,100,100,"8/10/2018","max",11,2,13,1,"","2:18p-6:12p","6:45p-10:15a","","",19,30,1170,19.5,0.666666667,1371.6,"NULL",4.26,5.4864,"N",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.45261022,-121.4700959,4500,1371.6,2.11,0.85388746,18,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",132,"L3271",0.137461276171073,0.0496351460560639,0.179296719623021,1.573,25.68,3.87,92.78,13.96,45.448885983335,45.448885983335,"Melakwa, Upper","Melakwa, Upper","Melakwa, Upper","Melakwa, Upper",2114.6,108.441025641026
